Timestamp (ms),Left Motor Position (mm),Right Motor Position (mm),Left Motor Delta (mm),Right Motor Delta (mm)
8878,349.21,327.85,1.3599999999999568,1.8500000000000227
8895,350.51,328.87,1.3000000000000114,1.0199999999999818
8913,351.74,330.14,1.2300000000000182,1.2699999999999818
8930,352.91,331.32,1.170000000000016,1.1800000000000068
8947,354.06,332.46,1.1499999999999773,1.1399999999999864
8964,355.28,333.64,1.2199999999999704,1.1800000000000068
8981,356.56,334.84,1.2800000000000296,1.1999999999999886
8999,357.84,335.96,1.2799999999999727,1.1200000000000045
9016,359.3,337.37,1.4600000000000364,1.410000000000025
9035,360.91,338.1,1.6100000000000136,0.7300000000000182
9053,362.27,339.14,1.3599999999999568,1.0399999999999636
9071,363.68,340.39,1.410000000000025,1.25
9088,365.09,341.85,1.4099999999999682,1.4600000000000364
9105,366.44,343.21,1.3500000000000227,1.3599999999999568
9124,367.83,344.43,1.3899999999999864,1.2200000000000273
9140,369.29,345.61,1.4600000000000364,1.1800000000000068
9157,370.75,347.04,1.4599999999999795,1.4300000000000068
9174,372.21,347.9,1.4599999999999795,0.8599999999999568
9192,373.61,349.23,1.400000000000034,1.330000000000041
9210,375.0,350.59,1.3899999999999864,1.3599999999999568
9229,376.41,351.92,1.410000000000025,1.330000000000041
9246,377.87,353.17,1.4599999999999795,1.25
9262,379.27,354.29,1.3999999999999773,1.1200000000000045
9279,380.71,355.49,1.4399999999999977,1.1999999999999886
9297,382.19,356.79,1.4800000000000182,1.3000000000000114
9315,383.71,358.07,1.5199999999999818,1.2799999999999727
9332,385.04,359.32,1.330000000000041,1.25
9350,386.47,360.45,1.4300000000000068,1.1299999999999955
9367,387.91,361.72,1.4399999999999977,1.2700000000000387
9384,389.31,363.11,1.3999999999999773,1.3899999999999864
9400,390.64,364.23,1.329999999999984,1.1200000000000045
9419,391.76,365.48,1.1200000000000045,1.25
9436,392.65,366.76,0.8899999999999864,1.2799999999999727
9454,393.56,368.06,0.910000000000025,1.3000000000000114
9472,394.71,369.39,1.1499999999999773,1.329999999999984
9491,395.89,370.77,1.1800000000000068,1.3799999999999955
9508,397.19,372.21,1.3000000000000114,1.4399999999999977
9525,398.68,373.64,1.490000000000009,1.4300000000000068
9542,400.21,375.18,1.5299999999999727,1.5400000000000205
9559,401.6,376.41,1.3900000000000432,1.2300000000000182
9576,402.87,377.68,1.2699999999999818,1.2699999999999818
9594,404.07,378.86,1.1999999999999886,1.1800000000000068
9611,405.25,380.0,1.1800000000000068,1.1399999999999864
9629,406.42,381.28,1.170000000000016,1.2799999999999727
9645,407.57,382.69,1.1499999999999773,1.410000000000025
9661,408.72,384.1,1.150000000000034,1.410000000000025
9679,409.81,385.51,1.089999999999975,1.4099999999999682
9696,411.14,386.91,1.329999999999984,1.400000000000034
9712,412.76,388.24,1.6200000000000045,1.329999999999984
9730,414.77,389.6,2.009999999999991,1.3600000000000136
9748,416.15,390.7,1.3799999999999955,1.099999999999966
9765,417.76,391.95,1.6100000000000136,1.25
9781,419.36,393.36,1.6000000000000227,1.410000000000025
9798,420.97,394.79,1.6100000000000136,1.4300000000000068
9816,422.56,396.25,1.589999999999975,1.4599999999999795
9833,424.18,397.53,1.6200000000000045,1.2799999999999727
9850,425.8,398.65,1.6200000000000045,1.1200000000000045
9867,427.7,400.01,1.8999999999999773,1.3600000000000136
9884,428.98,401.02,1.2800000000000296,1.009999999999991
9900,430.46,402.38,1.4799999999999613,1.3600000000000136
9918,431.87,403.63,1.410000000000025,1.25
9934,433.25,404.8,1.3799999999999955,1.170000000000016
9951,434.58,405.93,1.329999999999984,1.1299999999999955
