Timestamp (ms),Left Motor Position (mm),Right Motor Position (mm),Left Motor Delta (mm),Right Motor Delta (mm)
8482,129.03,135.08,0.4900000000000091,0.44000000000002615
8499,129.68,135.71,0.6500000000000057,0.6299999999999955
8516,130.31,136.36,0.6299999999999955,0.6500000000000057
8533,130.96,137.01,0.6500000000000057,0.6499999999999773
8550,131.61,137.64,0.6500000000000057,0.6299999999999955
8567,132.27,138.21,0.6599999999999966,0.5700000000000216
8586,132.94,138.84,0.6699999999999875,0.6299999999999955
8603,133.65,139.59,0.710000000000008,0.75
8621,134.35,140.09,0.6999999999999886,0.5
8638,135.03,140.66,0.6800000000000068,0.5699999999999932
8655,135.73,141.37,0.6999999999999886,0.710000000000008
8672,136.44,142.02,0.710000000000008,0.6500000000000057
8689,137.14,142.64,0.6999999999999886,0.6199999999999761
8706,137.82,143.27,0.6800000000000068,0.6300000000000239
8724,138.5,143.87,0.6800000000000068,0.5999999999999943
8741,139.2,144.6,0.6999999999999886,0.7299999999999898
8758,139.88,145.07,0.6800000000000068,0.46999999999999886
8774,140.58,145.62,0.700000000000017,0.5500000000000114
8791,141.29,146.11,0.7099999999999795,0.4900000000000091
8808,141.97,146.61,0.6800000000000068,0.5
8826,142.64,147.16,0.6699999999999875,0.549999999999983
8844,143.27,147.78,0.6300000000000239,0.6200000000000045
8860,143.84,148.46,0.5699999999999932,0.6800000000000068
8878,144.5,149.43,0.6599999999999966,0.9699999999999989
8895,145.28,149.97,0.7800000000000011,0.539999999999992
8911,145.96,150.55,0.6800000000000068,0.5800000000000125
8928,146.71,151.2,0.75,0.6499999999999773
8947,147.47,151.82,0.7599999999999909,0.6200000000000045
8966,148.2,152.42,0.7299999999999898,0.5999999999999943
8984,148.88,153.02,0.6800000000000068,0.6000000000000227
9002,149.56,153.62,0.6800000000000068,0.5999999999999943
9019,150.26,154.43,0.6999999999999886,0.8100000000000023
9037,151.04,154.85,0.7800000000000011,0.4199999999999875
9054,151.69,155.4,0.6500000000000057,0.5500000000000114
9073,152.35,156.07,0.6599999999999966,0.6699999999999875
9089,153.02,156.81,0.6700000000000159,0.7400000000000091
9107,153.73,157.48,0.7099999999999795,0.6699999999999875
9125,154.48,158.14,0.75,0.6599999999999966
9142,155.27,158.79,0.7900000000000205,0.6500000000000057
9159,156.02,159.41,0.75,0.6200000000000045
9176,156.75,160.09,0.7299999999999898,0.6800000000000068
9194,157.43,160.66,0.6800000000000068,0.5699999999999932
9211,158.24,161.26,0.8100000000000023,0.5999999999999943
9228,159.02,161.84,0.7800000000000011,0.5800000000000125
9245,159.8,162.39,0.7800000000000011,0.549999999999983
9262,160.56,162.96,0.7599999999999909,0.5700000000000216
9279,161.26,163.66,0.6999999999999886,0.6999999999999886
9295,161.97,164.32,0.710000000000008,0.6599999999999966
9313,162.7,164.89,0.7299999999999898,0.5699999999999932
9331,163.43,165.46,0.7300000000000182,0.5700000000000216
9347,164.19,166.14,0.7599999999999909,0.6799999999999784
9364,165.02,166.84,0.8300000000000125,0.700000000000017
9381,165.85,167.5,0.8299999999999841,0.6599999999999966
9398,166.71,168.1,0.8600000000000136,0.5999999999999943
9416,167.58,168.64,0.8700000000000045,0.539999999999992
9432,168.44,169.14,0.8599999999999852,0.5
9449,169.27,169.69,0.8300000000000125,0.5500000000000114
9465,170.0,170.31,0.7299999999999898,0.6200000000000045
9483,170.7,170.97,0.6999999999999886,0.6599999999999966
9499,171.33,171.59,0.6300000000000239,0.6200000000000045
9516,172.03,172.3,0.6999999999999886,0.710000000000008
9532,172.69,173.03,0.6599999999999966,0.7299999999999898
9548,173.36,173.68,0.6700000000000159,0.6500000000000057
9564,174.04,174.25,0.6799999999999784,0.5699999999999932
9583,174.82,174.93,0.7800000000000011,0.6800000000000068
9600,175.35,175.4,0.5300000000000011,0.46999999999999886
9617,175.95,175.95,0.5999999999999943,0.549999999999983
9634,176.52,176.49,0.5700000000000216,0.5400000000000205
9651,177.09,177.07,0.5699999999999932,0.5799999999999841
9669,177.69,177.77,0.5999999999999943,0.700000000000017
9688,178.32,178.5,0.6299999999999955,0.7299999999999898
9705,178.97,179.02,0.6500000000000057,0.5200000000000102
9722,179.73,179.73,0.7599999999999909,0.7099999999999795
9739,180.25,180.12,0.5200000000000102,0.3900000000000148
9756,180.87,180.77,0.6200000000000045,0.6500000000000057
9773,181.47,181.42,0.5999999999999943,0.6499999999999773
9791,182.05,181.92,0.5800000000000125,0.5
9807,182.57,182.26,0.5199999999999818,0.3400000000000034
9826,183.14,182.8,0.5699999999999932,0.5400000000000205
9844,183.74,183.43,0.6000000000000227,0.6299999999999955
9861,184.63,184.13,0.8899999999999864,0.6999999999999886
9879,185.1,184.45,0.46999999999999886,0.3199999999999932
9896,185.7,184.81,0.5999999999999943,0.36000000000001364
9913,186.32,185.2,0.6200000000000045,0.38999999999998636
9931,186.92,185.65,0.5999999999999943,0.45000000000001705
9948,187.52,186.35,0.6000000000000227,0.6999999999999886
